timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-09-15T16:14:12,codecarbon,346558e4-b67a-4e4c-939b-075b2d491d09,6548.641911268234,0.0154012291251465,2.3518203214999028e-06,42.5,0.0,10.886016368865969,0.0773102493168578,0.0,0.0198020206913809,0.0971122700082387,Brazil,BRA,são paulo,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.2,24,13th Gen Intel(R) Core(TM) i7-13700,,,-47.7756,-22.7146,29.02937698364257,machine,N,1.0
2025-10-22T16:13:10,codecarbon,336f871a-03a6-4926-8a01-b8f6895280c1,0.0090477466583251,5.2448049074368493e-08,5.7968078743792985e-06,42.5,0.0,188.8165454864502,1.0643651088078817e-07,0.0,2.242740487588435e-07,3.307105596396317e-07,Brazil,BRA,são paulo,,,Linux-6.16.3-76061603-generic-x86_64-with-glibc2.35,3.10.12,2.3.2,96,Intel(R) Xeon(R) Gold 5318Y CPU @ 2.10GHz,1.0,1 x NVIDIA A100-SXM4-40GB,-46.6351,-23.6293,503.5107879638672,machine,N,1.0
2025-10-22T16:20:32,codecarbon,85310a17-da6b-4f76-8af3-72c0d7decd58,0.0071103572845458,2.1587619110944613e-07,3.03608078286931e-05,42.5,902.2910077224618,188.8165454864502,8.355329434076948e-08,1.0708341902088137e-06,2.068173120949268e-07,1.36120479664451e-06,Brazil,BRA,são paulo,,,Linux-6.16.3-76061603-generic-x86_64-with-glibc2.35,3.10.12,2.3.2,96,Intel(R) Xeon(R) Gold 5318Y CPU @ 2.10GHz,1.0,1 x NVIDIA A100-SXM4-40GB,-46.6351,-23.6293,503.5107879638672,machine,N,1.0
2025-10-22T16:24:08,codecarbon,b147cee0-f242-4ad7-95a1-c81fd654d24c,0.0068860054016113,4.1815933274326923e-08,6.072596641376722e-06,42.5,0.0,188.8165454864502,8.08118118180169e-08,0.0,1.828580660719581e-07,2.63669877889975e-07,Brazil,BRA,são paulo,,,Linux-6.16.3-76061603-generic-x86_64-with-glibc2.35,3.10.12,2.3.2,96,Intel(R) Xeon(R) Gold 5318Y CPU @ 2.10GHz,1.0,1 x NVIDIA A100-SXM4-40GB,-46.6351,-23.6293,503.5107879638672,machine,N,1.0
2025-10-22T16:31:12,codecarbon,dc432b1a-5948-49de-931f-5b2ab0a44797,0.0078432559967041,5.36737717530828e-08,6.843302293797069e-06,42.5,0.0,188.8165454864502,9.2194312148624e-08,0.0,2.462450274970252e-07,3.384393396456492e-07,Brazil,BRA,são paulo,,,Linux-6.16.3-76061603-generic-x86_64-with-glibc2.35,3.10.12,2.3.2,96,Intel(R) Xeon(R) Gold 5318Y CPU @ 2.10GHz,1.0,1 x NVIDIA A100-SXM4-40GB,-46.6351,-23.6293,503.5107879638672,machine,N,1.0
2025-10-22T16:38:49,codecarbon,1458b7ae-94d4-4380-8a98-bce99750a7b0,58.82072877883911,0.0009537824805503,1.6215074181357268e-05,42.5,173.68597151408224,188.8165454864502,0.0006944079362683,0.002237648179006,0.0030820081537326,0.006014064269007,Brazil,BRA,são paulo,,,Linux-6.16.3-76061603-generic-x86_64-with-glibc2.35,3.10.12,2.3.2,96,Intel(R) Xeon(R) Gold 5318Y CPU @ 2.10GHz,1.0,1 x NVIDIA A100-SXM4-40GB,-46.6351,-23.6293,503.5107879638672,machine,N,1.0
2025-10-22T16:50:37,codecarbon,807954bf-6d99-4df0-a955-793772fdc2d1,65.27121353149414,0.0010328609739611,1.5824142345120977e-05,42.5,172.13493002887702,188.8165454864502,0.0007705590842498,0.0023236104699981,0.0034185232295061,0.0065126927837542,Brazil,BRA,são paulo,,,Linux-6.16.3-76061603-generic-x86_64-with-glibc2.35,3.10.12,2.3.2,96,Intel(R) Xeon(R) Gold 5318Y CPU @ 2.10GHz,1.0,1 x NVIDIA A100-SXM4-40GB,-46.6351,-23.6293,503.5107879638672,machine,N,1.0
2025-10-23T10:50:42,codecarbon,33ff3cab-bfd0-4137-b78f-75a05f329c29,61.84301853179932,0.000984846308149,1.59249391690448e-05,42.5,177.61066160588462,188.8165454864502,0.0007300874559415,0.0022393512359242,0.0032404981785249,0.0062099368703907,Brazil,BRA,são paulo,,,Linux-6.16.3-76061603-generic-x86_64-with-glibc2.35,3.10.12,2.3.2,96,Intel(R) Xeon(R) Gold 5318Y CPU @ 2.10GHz,1.0,1 x NVIDIA A100-SXM4-40GB,-46.6351,-23.6293,503.5107879638672,machine,N,1.0
2025-10-23T10:58:02,codecarbon,f06c6183-ead3-447b-a845-c99550eab6f4,151.43907284736633,0.002048613071211,1.3527638757243578e-05,42.5,173.88417154348053,188.8165454864502,0.0017878132682707,0.0032107164574597,0.0079189760199002,0.0129175057456307,Brazil,BRA,são paulo,,,Linux-6.16.3-76061603-generic-x86_64-with-glibc2.35,3.10.12,2.3.2,96,Intel(R) Xeon(R) Gold 5318Y CPU @ 2.10GHz,1.0,1 x NVIDIA A100-SXM4-40GB,-46.6351,-23.6293,503.5107879638672,machine,N,1.0
2025-10-23T13:03:48,codecarbon,d22908eb-48a9-4342-9837-80068a71e818,148.98853731155396,0.0020145270401811,1.3521355914573051e-05,42.5,174.31792611594787,188.8165454864502,0.0017588829042183,0.00315234835521,0.0077913454164516,0.01270257667588,Brazil,BRA,são paulo,,,Linux-6.16.3-76061603-generic-x86_64-with-glibc2.35,3.10.12,2.3.2,96,Intel(R) Xeon(R) Gold 5318Y CPU @ 2.10GHz,1.0,1 x NVIDIA A100-SXM4-40GB,-46.6351,-23.6293,503.5107879638672,machine,N,1.0
2025-10-23T13:07:02,codecarbon,dba499c6-ea7b-488a-997c-a24aa1396196,150.80337715148926,0.0020503756539800404,1.3596351041398358e-05,42.5,180.15017217302838,188.8165454864502,0.001780309585730235,0.003261705664917791,0.007886604440004972,0.012928619690652997,Brazil,BRA,são paulo,,,Linux-6.16.3-76061603-generic-x86_64-with-glibc2.35,3.10.12,2.3.2,96,Intel(R) Xeon(R) Gold 5318Y CPU @ 2.10GHz,1.0,1 x NVIDIA A100-SXM4-40GB,-46.6351,-23.6293,503.5107879638672,machine,N,1.0
